"","Area","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"17","Australia and New Zealand",659100,699500,847600,924800,1003600,793500,862300,1029700,1187600,1302700,1291000,1260400,1499500,1625200,1490500,1519000,1490000,1503200,1515000,1630000,1680700,1737000,1543200,1688900,1812800,1767500,1836000,2032000,2013200,1931700,1946100,1903507,1924011,1937100,1993000,1837000,1983100,1848000,2026100,2188200,2199400,2489900,2246000,2210987,2296061,2142625,2250014,2620283,2141610,2306808,2460051,2428395,2260973,2385030,2289445,2269460,2146613,2427238,2124331,2136582,2053880.12,2245820
"18","Austria",605400,573800,597200,633800,651100,658500,681300,643400,717100,777200,799700,864300,960700,1013200,899200,939300,1049300,1012700,1063200,1092200,1071000,1073200,1072200,1135200,1222400,1237900,1291900,1429900,1537200,1527600,1628700,1654037,1654271,1812000,1773700,1677700,1761300,1818600,1741000,1850000,1711000,1812650,1873000,2113434,2094045,2146800,2078989,2117648,1834280,1958636,1979725,2080099,1917291,1993792,1918409,2115650,2039406,1956270,1925844,1823988,1888234,1781165
"19","Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,-200,0,0,20,10,10,14,57,25,21,24,71,100,148,194,372,372,1235,258,157,120,206,50,100,500
"20","Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,107,135,0,0,0,0,100,100,2900,2389,2134,214,214,70,55,-167,-169,-166,-152,-167,-163,-185,-177,-177,-177,-177,181,-166,-166,-176
"21","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,46,5039,8613,11200,13000,9800,5000,5000,2000,357,11787,17473,17473,11767,13556,4233,3698,15592,9229,7442,20950,35160,31085,35086,34817,26045,20969,22033,20581,17112
"22","Bangladesh",26000,30000,26000,28000,13000,12000,9000,30000,26000,26000,46000,62400,58000,45900,27900,59400,55600,82300,96809,96809,107109,111209,114700,124600,157900,139700,155900,141600,142100,147000,137100,141132,139646,132946,126046,120300,111000,46700,51100,51100,51700,42246,80497,97455,97455,95106,102802,116693,158857,101175,224573,220441,298420,373491,327470,575142,428441,485825,479207,407878,408557,468657
"23","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538,180,1167,372,900,2100,2100,2200,2200,1400,1154,2945,866,866,1115,123,50,-223,40,40,40,12,9,9,4,14,14,14,14,14,-10
"24","Belarus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36900,25980,30000,30000,35651,32320,70526,86400,87800,80200,82200,86300,86900,87000,91600,91600,91600,66593,85107,70872,80908,46940,52119,51812,26213,24767,24158,84377,92400,105747,173783
"25","Belgium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806000,807550,820823,790667,794467,849833,708737,190885,245275,476373,177468,315533,445759,619699,635879,601711,629989,665796,768578,706340,404578,481154,556613
"26","Belgium-Luxembourg",178200,180900,190500,198600,244600,279600,296900,525600,564600,599800,612200,646200,666700,707400,551800,564700,575300,531200,568400,606300,590200,575200,589600,609100,574400,592700,666200,720600,752300,767900,724100,701271,640736,786616,737200,738500,728500,778500,724730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
